Genotype	EV_V6	PH_V6	PH_final	DtSILK	RL_R6
DH_KE0151	5.4363075826402	67.1693895686378	154.389694186319	82.6201534812471	5.85198270172686
DH_KE0152	5.21639901283142	69.3004036003462	133.815212410994	78.3907422168328	0.97064224708351
DH_KE0153	5.06629097728071	70.8755781392071	161.211296426468	81.2066626635665	3.52451326816798
DH_KE0157	4.2030312987114	63.4050824942775	148.011788197261	80.3908868212969	3.20388048084067
DH_KE0159	6.20541019894708	80.3021187720935	159.088311383412	75.612105443492	NA
DH_KE0160	4.68749719901868	66.6020013206784	133.162802834881	85.0302736047499	2.60846610085212
DH_KE0161	4.29298330106134	64.5356627062321	127.12961947472	77.6696901933119	0.996708969685431
DH_KE0162	2.94320916414163	45.5229286695881	106.333490176385	81.514457116362	4.89264719843495
DH_KE0163	5.2753503701983	74.1799875593031	151.425538228306	77.8161566541339	1.47195741320954
DH_KE0164	4.5693097178099	56.7529847517167	107.125771596396	70.3967541532382	1.24853600726923
DH_KE0165	3.52048599880498	56.6267591713719	144.032243566619	80.5418622885375	4.5990787027597
DH_KE0166	4.66483415455117	60.9763034934155	132.408988481215	81.5906643771909	6.43876580896825
DH_KE0168	3.87105836479376	59.3503414181956	112.563993671452	74.7402131443159	1.05003208452159
DH_KE0170	3.27508129995525	56.7491109800216	139.648883841608	85.0375108590996	4.64841375898498
DH_KE0171	5.35519868351208	62.9306714516784	162.669814372017	80.2047719486548	2.18260377153686
DH_KE0173	4.48731356113303	61.664221128104	140.444094257312	80.1263750319114	2.96562591854022
DH_KE0175	6.88303713180078	92.1240911636421	143.237536506297	68.5741746746564	3.04034631383492
DH_KE0176	4.63528506384357	63.0520369646241	129.141274542964	75.0470907655499	1.27629817233146
DH_KE0177	3.97340452244606	51.6916645010216	135.730982461479	76.8560370517975	1.00064335587837
DH_KE0178	4.3944972491801	67.1361380084274	145.697418718682	79.8614848923301	6.47769378807804
DH_KE0180	3.75599062859541	64.8043140248074	123.889796212994	81.0679884106171	1.62233680655358
DH_KE0181	4.97878659601278	56.4985350517236	138.400301629774	76.2145503787479	6.64834759814463
DH_KE0182	5.02524915093291	70.2095093681234	118.642926335449	81.8630928072207	4.28597343027035
DH_KE0183	5.84480443764709	71.4363770473068	138.802473498806	76.7059514770024	1.00706701619737
DH_KE0185	4.70454239065163	62.9391594105843	129.28337146599	74.0104806996693	NA
DH_KE0186	6.86221268366375	86.5196885160542	174.256994922247	71.7088980848851	2.26567984031802
DH_KE0187	6.13221517178674	73.9940621802779	156.814431864956	75.8179642886741	1.9724590513723
DH_KE0188	5.78614205874366	65.5227656520064	138.356900492296	69.5919507846632	2.01877647947052
DH_KE0189	4.79668574887489	71.3167171198148	177.461682950269	84.1535187951174	2.78543119412206
DH_KE0190	5.61484961165677	74.1846776985738	143.216588122396	75.1667092400849	1.65210832906023
